well_family,failure_label,count,sample_remarks
15_9_F_11,EQUIPMENT_FAILURE,194,"Transferred over from well F-99. Broke out 5 1/2"" DP pup on 30"" conductor running tool and prepared subs for cement assembly stand. Requested production to shut || Broke out lower Full Open Safety Valve on cement assembly stand and racked back same. || Broke circulation and observed with ROV seawater returns through 2"" fill up valve on running tool, 400 lpm, 5 bar and closed same with ROV. ROV removed plug fro"
15_9_F_11,FISHING,43,"Started POOH 36"" BHA from TD at 208 m. ROV moved towards F-11 well centre to observe POOH and observe 36"" hole opener assy had detached from string. ROV checked || Evaluated risk of POOH recoverable section of BHA up through Volve Platform. sh Held pre-job meeting. POOH and found that BHA had parted at a service break conn || Discussed situation with town. Mobilized fishermen and fishing equipment. sh ROV attempted to observe TOF in guide funnel, poor visibility in template area. Mea"
15_9_F_11,WELL_CONTROL,16,"R/U wireline lower sheave, ran wireline gyro and recorded wireline single shoot survey. other Re-calculated projected well path. Discussed survey data and proje || Confirmed with Production that wells adjacent to F-11 shut in. Performed Pre-job Meeting prior to M/U 26"" steering BHA. on -- oth er || Performed Pre-job, safety and DOP Meeting prior to washing down to find TOC and dress off same to firm cement for kick off. r"
15_9_F_11,TIGHT_HOLE,5,"From 3856m MD, observed frequent tight spots corresponding with high doglegs. Ran in hole with 7"" liner on 5 1/2"" landing string and worked through tight spots  || Prepared POOH from bottom at 453 m. Installed grease pump in crown block. Oriented 26"" steering BHA. Displaced well to 1.35 sg KCl mud, 1100 - 3100 l/min, 8 - 7 || Pulled out of hole with 26"" bottom hole assembly from 1365m MD to 460m MD. Observed tight hole at 460m MD. Attempted to get past restriction with maximum 30MT o"
15_9_F_11,STUCK_PIPE,3,"RIH 14"" 169.65 kg/m csg from 1247 m to 1348 m filling every joint with 1.42 sg OBM. Average running speed 6 jts./hr. Engaged fill up and circulation tool [FAC]. || Made up connection on pack-off. Checked and re-tightent allen screw lock keys securing pack-off on FAC. air || Lubricated out of hole with 8 1/2"" bottom hole assembly from 4407m MD to 4323m MD with 221 lpm and 11 bar. Equipment Failure Information Start Depth Sub Equip -"
15_9_F_12,EQUIPMENT_FAILURE,219,"Broke out an laid down MWD. Laid out 36"" hole opener BHA, lifted same to maindeck for backload. || Ran 30"" conductor shoe joint, 6 x intermediate joints and ST-2 x RL-4 x-over from RT to 96 m MD. Checked float - ok. Equipment Failure Information Start Depth S || Broke out and laid down handling CART from 30"" conductor housing. Filled 30"" conductor with water. Rigged up C-plate, bowl and slips for running 4 3/4"" aluminiu"
15_9_F_12,FISHING,44,Installed cradles on HTS for handling overshot joint. Picked up overshot joint and landed off on top of LPDR Tension joint. Torqued up bolts in overshot. d equi || Secured overshot joint with tugger in moonpool due to movements in same. Landed diverter on overshot joint. Made up diverter to overshot joi t nt. || Attached slings to chackles in bails in TDS to overshot joint. Removed tension bolts using Bandak Bolt Tensioning Tool. LO overshot joint and removed slings.
15_9_F_12,WELL_CONTROL,28,"Drilled 2 m new formation with 26"" hole opner BHA; 3000 lpm, 55 rpm and 1 ton wob. Reamed rate hole and shoe track. Equipment Failure Information Start time Dep || Waiting on Geoservices to have their sensors reading data. Meanwhile reamed and circulated 2250 lpm/101 bar. -- repair Equipment Failure Information Start Depth || Picked up 18 3/4"" Subsea well head, attempted to make up same, had problems getting 18 3/4"" Subsea well head vertical without the possibility of damaging the th"
15_9_F_12,TIGHT_HOLE,12,"Drilled 8 1/2"" pilot hole from 941 m to 1178 m, 2250 lpm/111 bar, 120 rpm/1-5 kNm, 1-2 MT wob, ECD 1.14-1.20 SG. Reamed each stand. Took weight at 978 m, 1027 m || MU and RIH with 3 1/2"" cement stinger. Had a few tight spots, observed with ROV. it || RIH with 20"" CSG. F/249m T/460m. Filled every jnt with rest of 20m³ 1.40 SG mud, continued with SW. Had tight spot at 419m set down 6 MT, Engaged FAC tool an d "
15_9_F_12,STUCK_PIPE,3,"Held tool box meeting prior to drilling out shoe track. Focused on potential for stuck pipe. || Due to pack off tendencies at 1661 m MD, increasing ECD > 1,40 and increasing cuttings trend over shakers => Reciprocated and circulated on stand at 4500 lpm /  || P/U spear assembly (run#11), greased pack off, grapple and set in catch -- other"
15_9_F_14,EQUIPMENT_FAILURE,160,Pulled back one single. Broke connection using the iron roughneck. Continued to RIH. Stabbed conductor into guide funnel at 03:30 hrs. Checked orientation of co || Made up the top drive and started to wash down from 169 m. Flow: 1000 ltr/min. SPP: 4 bar. Observed some of the cement top up piping no longer attached to the c || Recovered broken off piece of top up cement piping. asing
15_9_F_14,FISHING,72,"POOH with jet sub / 18 3/4"" test plug from 170 m MD to surface. Broke out and laid down 18 3/4"" test plug and jet sub. Broke out and laid down 10 3/4"" Itco spea || BO stand to pick out gyro string. Found gyro tool to be 1 m below connection. MU dedicated fishing tool on tugger and removed tool string out of HWDP. Managed t || Held tool box talk and made up Spear assy. using rig-tongs. Racked back Spear assy. in derrick."
15_9_F_14,WELL_CONTROL,16,"Observed gain in trip tank and flow up RTTS running string. Installed kick valve on string. Shut in well and monitored pressures. No increase in pressure observ || Opened auto choke and observed no gain in TT through mud gas separator. Opened kick valve and observed no flow. POOH with running tool on 5 1/2"" DP from 310 m t || Held tool box talk and started POOH with 8½"" drilling BHA wet 5 std. from 3750m to 3536m. Held kick drill. Trip time in open hole 142 m/hours"
15_9_F_14,TIGHT_HOLE,5,"ll POOH with 26"" drilling BHA from 1072 m MD to 717 m MD. Tight spots when POOH: 807-800 m: 10-15 MT overpull 770-764 m: 13-16 MT overpull 758-754 m: 10-14 MT o || POOH with 26"" drilling BHA from 717 m MD to 193 m MD. Tight spots when POOH: ll 627-620 m: 2-10 MT overpull 615-612 m: 5-15 MT overpull 598-596 m: 11-20 MT over || RIH with 20"" csg from 151 m to 414 m MD. Filled string with SW every 5th joint. Average running speed 4 jnts/hr. Observed tight spots at: 250-256 m: 12 MT drag "
15_9_F_14,STUCK_PIPE,2,"Continued washing down from to 3700m. 450 lpm 38 bars. Took 10 mt wt at 3700m. Hole packed off and pump pressure increased from 38 bars to 68 bars. || Displaced cement with 41,5 m3 SW from cement unit at 1300 lpm / 85 bar, cycled DHSV 3x after bullheading 30 m3 of SW (while still pumping at 1300lpm). -- other "
15_9_F_15,EQUIPMENT_FAILURE,103,"Made up 30"" conductor housing using manual rig tongs. Made Up Torque 46.000Nm. Engage locking system with lock-plate. Secured with cap-screws. Inspected housing || Made up to TDS and filled the 30"" conductor with sea water. Commenced to stab shoe into to the slot. Stopped operation due to posiblity of power failure in prod || Stabbed 30"" conductor in to slot. Broke circulation and confirmed conductor to be full. Closed the 2"" vent valve. Ran in with the 30"" conductor from 144m to 220"
15_9_F_15,FISHING,25,Removed Diverter RT. Connected overshot packer hose. Took BOP weight with upper tension cylinders. Rigged down slings from bails. equipment || Attempted to work string free. Not able to come down - string at TD. Attempted to come up - functioned jar twice. Attempted to work string free by applying torq || Discussed fishing alternatives and way forward. n -- fish
15_9_F_15,WELL_CONTROL,16,"Pulled Master bushing and installed HPDR Spider. uipment 14:45 Informed production to shut in well Oil producer F-14. || Picked up TBC/HPDR double A, Meanwhile installed guide wires through slot F 15. uipment 17:50 Oil producer F-14 shut in. || Removed hot stab. Removed hatches and secured open areas. Shut in water injection wells F-4 and F-5. uipment"
15_9_F_15,TIGHT_HOLE,9,"POOH with 26"" drilling BHA from 798 m to 238 m. Worked through tight spot at 548 m. Overpull 15 - 20 tonnes. || Continued washing down from 2401m to 2587m w/ 2500 lpm, SPP 167-175bars. Tight/overpull at 2587mt. Started rotation at 20rpm. Continued to wash/ream down from 2 || Encountered tight spot at 1467 m MD. Broke circulation. Set down 25 MT. Applied 3 rpm within 15 kNm limit. Passed restriction. casing"
15_9_F_15,STUCK_PIPE,7,"RIH from 1338 m to 1380 m MD with 17 1/2"" BHA. Started pumping 1,44 sg OBM. Stepped up rate in increments to 3400 lpm / SPP 75 bar - verified returns. Rotated a || Attempted to work string free. Not able to come down - string at TD. Attempted to come up - functioned jar twice. Attempted to work string free by applying torq || Established parameters for washing down / cleaning rathole : Flow 3000 lpm / SPP 128 bar / Rotation 60 rpm / torque 6 kNm. Washed down from 1368 m to 1374 m MD."
